distance,passengers,hour,weekday,trip_minutes,payment,color,pickup_borough,dropoff_borough,fare,tip,tolls,total
5.6,5,17,Tuesday,29.68,cash,yellow,Manhattan,Bronx,22.0,0.0,0.0,23.8
4.6,1,3,Friday,13.92,cash,yellow,Manhattan,Brooklyn,15.5,0.0,0.0,19.3
5.85,1,3,Thursday,23.57,credit card,yellow,Manhattan,Brooklyn,21.0,4.96,0.0,29.76
1.05,2,16,Monday,3.63,credit card,yellow,Manhattan,Manhattan,5.0,2.0,0.0,11.3
3.22,1,18,Friday,23.73,cash,yellow,Manhattan,Manhattan,16.5,0.0,0.0,20.8
3.52,2,2,Saturday,12.47,cash,yellow,Manhattan,Queens,13.0,0.0,0.0,16.8
0.6,1,10,Wednesday,4.23,cash,yellow,Manhattan,Manhattan,5.0,0.0,0.0,8.3
1.99,1,12,Wednesday,17.18,credit card,yellow,Manhattan,Manhattan,12.0,3.06,0.0,18.36
10.5,1,17,Monday,28.2,credit card,yellow,Queens,Manhattan,32.0,8.4,5.76,50.46
1.97,2,17,Saturday,12.75,cash,yellow,Manhattan,Manhattan,10.5,0.0,0.0,13.8
2.11,1,13,Saturday,33.98,credit card,yellow,Manhattan,Manhattan,21.5,4.96,0.0,29.76
2.34,1,0,Sunday,10.97,credit card,yellow,Manhattan,Manhattan,10.0,3.45,0.0,17.25
0.4,1,19,Saturday,3.28,credit card,yellow,Manhattan,Manhattan,4.0,1.46,0.0,8.76
0.85,2,1,Saturday,5.78,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.3
1.46,1,22,Monday,7.0,credit card,yellow,Manhattan,Manhattan,7.0,1.0,0.0,11.8
3.79,5,2,Saturday,14.27,credit card,yellow,Brooklyn,Brooklyn,14.0,3.06,0.0,18.36
1.1,1,11,Wednesday,16.48,credit card,yellow,Manhattan,Manhattan,11.0,2.85,0.0,17.15
1.76,1,23,Friday,11.67,credit card,yellow,Manhattan,Manhattan,9.5,2.66,0.0,15.96
2.4,2,1,Saturday,14.43,credit card,yellow,Manhattan,Manhattan,11.5,3.05,0.0,18.35
6.57,1,4,Saturday,19.58,credit card,yellow,Manhattan,Brooklyn,22.0,5.16,0.0,30.96
9.95,1,2,Monday,19.13,credit card,yellow,Manhattan,Manhattan,29.0,6.56,0.0,39.36
0.13,1,20,Friday,4.17,cash,yellow,Brooklyn,Brooklyn,4.5,0.0,0.0,5.8
1.49,1,16,Monday,7.62,credit card,yellow,Manhattan,Manhattan,8.0,2.46,0.0,14.76
0.42,1,12,Wednesday,2.18,credit card,yellow,Manhattan,Manhattan,3.5,0.0,0.0,6.8
8.3,1,14,Saturday,41.05,credit card,yellow,Manhattan,Brooklyn,31.5,8.7,0.0,43.5
1.4,2,22,Wednesday,8.07,credit card,yellow,Manhattan,Manhattan,7.5,1.0,0.0,12.3
1.43,1,15,Thursday,8.83,credit card,yellow,Manhattan,Manhattan,7.5,2.16,0.0,12.96
3.09,1,17,Saturday,20.83,credit card,yellow,Manhattan,Manhattan,15.0,4.58,0.0,22.88
0.4,1,16,Wednesday,4.0,cash,yellow,Manhattan,Manhattan,4.5,0.0,0.0,8.8
0.94,1,12,Sunday,4.13,credit card,yellow,Manhattan,Manhattan,5.5,2.2,0.0,11.0
3.54,1,23,Sunday,9.88,credit card,yellow,Manhattan,Manhattan,12.0,3.16,0.0,18.96
1.39,1,15,Sunday,7.97,credit card,yellow,Manhattan,Manhattan,7.5,1.66,0.0,9.96
0.6,1,21,Sunday,4.18,credit card,yellow,Manhattan,Manhattan,5.0,1.75,0.0,10.55
0.81,5,18,Thursday,7.33,credit card,yellow,Manhattan,Manhattan,6.5,2.7,0.0,13.5
0.81,1,20,Friday,12.13,credit card,yellow,Manhattan,Manhattan,8.5,2.46,0.0,14.76
1.3,2,10,Tuesday,11.55,credit card,yellow,Manhattan,Manhattan,9.0,3.05,0.0,15.35
0.98,1,22,Thursday,7.03,credit card,yellow,Manhattan,Manhattan,6.5,1.0,0.0,11.3
0.66,1,0,Sunday,2.93,credit card,yellow,Manhattan,Manhattan,4.5,1.66,0.0,9.96
4.04,1,13,Tuesday,17.5,credit card,yellow,Manhattan,Manhattan,16.5,3.0,0.0,22.8
1.43,2,21,Monday,9.25,cash,yellow,Manhattan,Manhattan,8.0,0.0,0.0,11.8
1.4,1,12,Sunday,10.78,credit card,yellow,Manhattan,Manhattan,8.5,2.95,0.0,14.75
1.3,5,20,Tuesday,5.62,credit card,yellow,Manhattan,Manhattan,6.5,2.58,0.0,12.88
0.89,1,23,Friday,5.07,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.3
1.14,1,13,Monday,6.22,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.3
7.06,1,19,Saturday,62.37,credit card,yellow,Brooklyn,Manhattan,39.0,4.0,0.0,46.3
2.5,1,9,Monday,8.23,cash,yellow,Queens,Queens,10.0,0.0,0.0,10.8
2.2,1,14,Tuesday,21.82,credit card,yellow,Manhattan,Manhattan,14.5,2.2,0.0,20.0
0.9,1,12,Sunday,6.17,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.3
1.31,5,11,Wednesday,9.57,cash,yellow,Manhattan,Manhattan,8.0,0.0,0.0,11.3
5.77,1,13,Tuesday,43.72,credit card,yellow,Manhattan,Queens,29.5,2.0,0.0,34.8
1.14,1,14,Saturday,12.52,credit card,yellow,Manhattan,Manhattan,9.0,2.46,0.0,14.76
2.8,1,3,Friday,9.02,credit card,yellow,Manhattan,Manhattan,10.0,2.75,0.0,16.55
4.6,1,19,Tuesday,10.4,cash,yellow,Manhattan,Manhattan,15.0,0.0,0.0,19.3
3.5,1,13,Sunday,15.45,credit card,yellow,Manhattan,Manhattan,13.5,5.0,0.0,21.8
2.45,1,14,Sunday,16.38,cash,yellow,Manhattan,Manhattan,12.5,0.0,0.0,15.8
1.27,1,20,Wednesday,9.6,credit card,yellow,Manhattan,Manhattan,7.5,2.26,0.0,13.56
2.23,1,10,Thursday,26.43,cash,yellow,Manhattan,Manhattan,16.5,0.0,0.0,19.8
0.5,1,5,Tuesday,5.08,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.3
1.41,1,15,Monday,12.8,cash,yellow,Manhattan,Manhattan,9.5,0.0,0.0,12.8
0.77,3,15,Friday,3.5,cash,yellow,Manhattan,Manhattan,4.5,0.0,0.0,7.8
0.74,1,9,Thursday,11.85,cash,yellow,Manhattan,Manhattan,8.5,0.0,0.0,11.8
2.84,1,13,Thursday,18.5,credit card,yellow,Manhattan,Manhattan,14.0,5.19,0.0,22.49
3.16,1,22,Friday,15.32,credit card,yellow,Manhattan,Manhattan,13.0,5.04,0.0,21.84
0.9,1,10,Monday,8.47,credit card,yellow,Manhattan,Manhattan,7.5,1.0,0.0,11.8
1.04,1,17,Sunday,5.38,credit card,yellow,Manhattan,Manhattan,6.0,1.5,0.0,10.8
2.47,1,15,Sunday,15.87,credit card,yellow,Manhattan,Manhattan,12.0,3.06,0.0,18.36
0.66,6,19,Friday,5.8,credit card,yellow,Manhattan,Manhattan,5.5,1.2,0.0,11.0
1.8,1,22,Thursday,7.1,credit card,yellow,Manhattan,Manhattan,8.0,2.36,0.0,14.16
8.1,2,4,Sunday,26.25,cash,yellow,Manhattan,Manhattan,27.0,0.0,0.0,30.8
0.9,1,19,Tuesday,7.07,credit card,yellow,Manhattan,Manhattan,6.5,2.15,0.0,12.95
1.5,0,21,Friday,8.03,credit card,yellow,Manhattan,Manhattan,8.0,2.35,0.0,14.15
1.3,1,11,Friday,8.05,credit card,yellow,Manhattan,Manhattan,8.0,2.25,0.0,13.55
1.23,1,21,Wednesday,10.9,credit card,yellow,Manhattan,Manhattan,8.5,2.46,0.0,14.76
0.7,2,19,Sunday,5.3,credit card,yellow,Manhattan,Manhattan,5.5,1.75,0.0,10.55
0.4,1,12,Friday,2.02,cash,yellow,Manhattan,Manhattan,3.5,0.0,0.0,6.8
1.2,1,23,Friday,6.53,credit card,yellow,Manhattan,Manhattan,6.5,2.55,0.0,12.85
0.8,1,9,Thursday,6.35,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,6.8
4.17,2,17,Sunday,27.05,credit card,yellow,Manhattan,Manhattan,19.5,4.56,0.0,27.36
0.8,1,7,Thursday,4.17,credit card,yellow,Manhattan,Manhattan,5.0,1.25,0.0,9.55
1.52,1,17,Wednesday,10.2,credit card,yellow,Manhattan,Manhattan,8.0,0.0,0.0,12.3
11.25,4,14,Wednesday,37.3,credit card,yellow,Queens,Brooklyn,35.5,7.26,0.0,43.56
2.4,0,21,Tuesday,12.78,credit card,yellow,Manhattan,Manhattan,10.5,2.0,0.0,16.3
1.9,1,12,Friday,16.05,credit card,yellow,Manhattan,Manhattan,11.5,2.22,0.0,17.02
1.87,1,9,Monday,10.1,credit card,yellow,Manhattan,Manhattan,9.5,1.0,0.0,13.8
0.8,0,16,Wednesday,10.08,credit card,yellow,Manhattan,Manhattan,7.5,1.77,0.0,13.57
1.79,1,10,Tuesday,19.77,credit card,yellow,Manhattan,Manhattan,13.0,3.26,0.0,19.56
24.2,1,17,Saturday,60.0,cash,yellow,Queens,Bronx,67.5,0.0,8.4,76.7
0.5,4,12,Tuesday,14.82,credit card,yellow,Manhattan,Manhattan,9.5,2.55,0.0,15.35
1.23,2,19,Tuesday,8.15,cash,yellow,Manhattan,Manhattan,7.5,0.0,0.0,11.8
2.1,1,16,Monday,14.48,credit card,yellow,Manhattan,Manhattan,11.0,3.05,0.0,18.35
7.41,1,0,Saturday,27.67,credit card,yellow,Brooklyn,Brooklyn,26.0,5.46,0.0,32.76
3.0,1,19,Friday,18.97,credit card,yellow,Manhattan,Manhattan,14.5,3.75,0.0,22.55
0.7,1,5,Friday,3.57,cash,yellow,Manhattan,Manhattan,4.5,0.0,0.0,8.3
2.2,1,23,Wednesday,14.07,credit card,yellow,Manhattan,Manhattan,10.5,2.86,0.0,17.16
1.59,5,23,Friday,10.5,credit card,yellow,Manhattan,Manhattan,8.5,3.08,0.0,15.38
0.6,1,21,Wednesday,4.75,credit card,yellow,Manhattan,Manhattan,5.0,2.6,0.0,11.4
0.48,1,18,Tuesday,5.7,credit card,yellow,Manhattan,Manhattan,5.0,1.4,0.0,10.7
1.49,3,22,Wednesday,9.63,credit card,yellow,Manhattan,Manhattan,8.5,2.46,0.0,14.76
1.61,1,21,Tuesday,7.53,credit card,yellow,Manhattan,Manhattan,8.0,2.0,0.0,13.8
0.7,2,9,Sunday,5.15,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,8.8
0.5,1,14,Friday,2.07,credit card,yellow,Manhattan,Manhattan,4.0,1.45,0.0,8.75
0.8,1,13,Wednesday,13.55,credit card,yellow,Manhattan,Manhattan,9.0,1.5,0.0,13.8
1.6,1,23,Saturday,12.85,credit card,yellow,Manhattan,Manhattan,10.0,2.5,0.0,16.3
2.49,1,16,Wednesday,12.1,cash,yellow,Manhattan,Manhattan,10.5,0.0,0.0,14.8
2.03,4,17,Saturday,17.18,credit card,yellow,Manhattan,Manhattan,12.0,3.06,0.0,18.36
1.09,1,10,Tuesday,12.18,credit card,yellow,Manhattan,Manhattan,8.5,2.36,0.0,14.16
1.62,3,17,Tuesday,23.23,cash,yellow,Manhattan,Manhattan,14.5,0.0,0.0,18.8
2.4,0,7,Thursday,13.12,credit card,yellow,Manhattan,Manhattan,11.0,2.85,0.0,17.15
18.2,1,21,Sunday,42.93,cash,yellow,Queens,Manhattan,52.0,0.0,5.76,61.06
1.4,1,6,Friday,8.62,credit card,yellow,Manhattan,Manhattan,7.5,2.15,0.0,12.95
2.11,2,18,Tuesday,13.72,credit card,yellow,Manhattan,Manhattan,11.0,2.3,0.0,17.6
0.58,1,8,Wednesday,2.25,credit card,yellow,Manhattan,Manhattan,4.0,1.46,0.0,8.76
0.68,1,7,Friday,3.08,credit card,yellow,Manhattan,Manhattan,4.5,1.56,0.0,9.36
1.6,1,6,Thursday,6.13,credit card,yellow,Manhattan,Manhattan,7.0,1.24,0.0,11.54
1.9,1,16,Thursday,9.9,credit card,yellow,Manhattan,Manhattan,9.0,2.66,0.0,15.96
0.92,1,16,Thursday,8.85,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,11.3
3.5,1,14,Sunday,22.88,credit card,yellow,Manhattan,Manhattan,17.0,4.05,0.0,24.35
10.06,6,14,Thursday,44.27,cash,yellow,Manhattan,Brooklyn,35.0,0.0,0.0,38.3
12.39,2,13,Saturday,29.65,cash,yellow,Queens,Queens,35.0,0.0,0.0,35.8
3.8,1,1,Friday,13.75,credit card,yellow,Manhattan,Manhattan,14.0,3.55,0.0,21.35
4.38,6,22,Wednesday,14.38,credit card,yellow,Manhattan,Queens,15.0,3.76,0.0,22.56
1.45,1,22,Thursday,4.7,credit card,yellow,Manhattan,Manhattan,6.0,1.0,0.0,10.8
0.67,2,19,Saturday,5.72,credit card,yellow,Manhattan,Manhattan,5.5,1.0,0.0,9.8
2.68,5,19,Monday,9.55,credit card,yellow,Manhattan,Manhattan,10.0,2.14,0.0,16.44
1.59,2,8,Friday,14.52,credit card,yellow,Manhattan,Manhattan,10.5,2.76,0.0,16.56
0.45,1,21,Friday,2.25,cash,yellow,Manhattan,Manhattan,3.5,0.0,0.0,7.3
2.84,2,17,Friday,16.82,cash,yellow,Manhattan,Manhattan,13.0,0.0,0.0,17.3
0.96,1,8,Friday,5.43,credit card,yellow,Manhattan,Manhattan,6.0,1.86,0.0,11.16
2.33,1,14,Sunday,15.95,credit card,yellow,Manhattan,Manhattan,11.5,4.44,0.0,19.24
3.31,1,23,Friday,16.73,credit card,yellow,Manhattan,Manhattan,13.5,3.0,0.0,20.3
1.19,2,12,Thursday,8.62,credit card,yellow,Manhattan,Manhattan,7.5,2.7,0.0,13.5
2.8,1,13,Tuesday,11.22,credit card,yellow,Manhattan,Manhattan,11.0,2.85,0.0,17.15
2.7,1,13,Saturday,17.68,credit card,yellow,Manhattan,Manhattan,13.0,2.0,0.0,18.3
1.57,1,10,Tuesday,11.48,credit card,yellow,Manhattan,Manhattan,9.0,2.46,0.0,14.76
0.7,1,10,Saturday,5.63,credit card,yellow,Manhattan,Manhattan,6.0,1.0,0.0,10.3
3.5,1,7,Thursday,17.07,cash,yellow,Manhattan,Manhattan,14.0,0.0,0.0,17.3
1.71,1,22,Wednesday,7.62,credit card,yellow,Manhattan,Manhattan,8.0,2.95,0.0,14.75
3.1,1,9,Wednesday,18.88,credit card,yellow,Manhattan,Manhattan,14.0,3.0,0.0,20.3
0.85,1,22,Friday,9.85,credit card,yellow,Manhattan,Manhattan,7.5,2.26,0.0,13.56
0.6,0,17,Tuesday,6.47,credit card,yellow,Manhattan,Manhattan,5.5,1.96,0.0,11.76
2.4,5,20,Thursday,15.18,credit card,yellow,Manhattan,Manhattan,11.5,3.06,0.0,18.36
1.98,1,18,Wednesday,10.83,credit card,yellow,Manhattan,Manhattan,9.5,2.76,0.0,16.56
1.0,1,20,Monday,9.32,cash,yellow,Manhattan,Manhattan,7.5,0.0,0.0,11.3
2.55,2,15,Tuesday,18.2,cash,yellow,Manhattan,Manhattan,13.5,0.0,0.0,16.8
0.6,1,14,Thursday,9.32,credit card,yellow,Manhattan,Manhattan,7.0,2.05,0.0,12.35
3.2,2,20,Tuesday,17.97,cash,yellow,Manhattan,Manhattan,14.0,0.0,0.0,17.8
4.1,1,18,Thursday,22.82,credit card,yellow,Manhattan,Manhattan,17.0,6.39,0.0,27.69
2.5,2,9,Thursday,26.18,credit card,yellow,Manhattan,Manhattan,16.5,1.0,0.0,20.8
3.5,1,3,Friday,16.22,credit card,yellow,Manhattan,Manhattan,14.0,0.0,0.0,17.8
1.23,1,9,Wednesday,24.58,credit card,yellow,Manhattan,Manhattan,15.0,3.66,0.0,21.96
1.97,1,0,Friday,7.72,cash,yellow,Manhattan,Manhattan,8.0,0.0,0.0,11.8
1.41,2,0,Saturday,7.07,credit card,yellow,Manhattan,Manhattan,7.5,2.26,0.0,13.56
0.46,5,20,Friday,2.7,credit card,yellow,Queens,Queens,4.0,1.06,0.0,6.36
20.17,2,15,Monday,48.53,credit card,yellow,Manhattan,Queens,52.0,15.26,5.76,76.32
0.6,1,10,Wednesday,5.85,credit card,yellow,Manhattan,Manhattan,5.5,1.75,0.0,10.55
1.38,1,12,Friday,10.83,cash,yellow,Manhattan,Manhattan,8.5,0.0,0.0,11.8
1.4,1,18,Saturday,5.93,credit card,yellow,Manhattan,Manhattan,7.0,1.5,0.0,11.8
1.54,5,19,Saturday,9.28,credit card,yellow,Manhattan,Manhattan,8.0,2.26,0.0,13.56
1.82,1,20,Sunday,13.47,cash,yellow,Manhattan,Manhattan,10.0,0.0,0.0,13.8
1.46,1,19,Monday,10.55,cash,yellow,Manhattan,Manhattan,9.0,0.0,0.0,13.3
1.25,1,3,Sunday,10.82,credit card,yellow,Manhattan,Manhattan,8.5,3.0,0.0,15.3
1.4,1,17,Saturday,7.02,credit card,yellow,Manhattan,Manhattan,7.0,2.05,0.0,12.35
1.3,1,4,Monday,4.6,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.8
1.49,2,20,Friday,9.5,credit card,yellow,Manhattan,Manhattan,8.0,2.36,0.0,14.16
2.0,1,14,Wednesday,13.22,credit card,yellow,Manhattan,Manhattan,11.0,0.0,0.0,14.3
0.47,1,2,Saturday,6.33,credit card,yellow,Manhattan,Manhattan,5.5,1.86,0.0,11.16
2.9,1,20,Wednesday,14.9,credit card,yellow,Manhattan,Manhattan,12.5,3.26,0.0,19.56
4.88,1,11,Saturday,19.68,credit card,yellow,Manhattan,Manhattan,19.0,4.46,0.0,26.76
0.89,1,9,Saturday,5.37,credit card,yellow,Manhattan,Manhattan,5.5,1.32,0.0,10.12
16.01,1,23,Wednesday,23.63,credit card,yellow,Queens,Manhattan,52.0,12.21,5.76,73.27
1.27,1,16,Friday,11.58,cash,yellow,Manhattan,Manhattan,9.0,0.0,0.0,13.3
2.64,2,19,Monday,12.7,credit card,yellow,Manhattan,Manhattan,11.0,3.06,0.0,18.36
1.52,1,14,Monday,9.82,credit card,yellow,Manhattan,Manhattan,8.5,2.36,0.0,14.16
9.19,1,11,Saturday,29.12,cash,yellow,Manhattan,Queens,30.0,0.0,5.76,36.56
0.54,3,13,Friday,2.57,credit card,yellow,Manhattan,Manhattan,4.0,1.46,0.0,8.76
0.8,1,16,Thursday,8.37,credit card,yellow,Manhattan,Manhattan,6.5,1.08,0.0,11.88
2.16,1,6,Friday,8.58,credit card,yellow,Manhattan,Manhattan,9.0,2.46,0.0,14.76
2.08,1,11,Tuesday,18.1,cash,yellow,Manhattan,Manhattan,12.0,0.0,0.0,15.3
5.7,1,21,Thursday,19.2,credit card,yellow,Manhattan,Brooklyn,19.0,4.55,0.0,27.35
1.55,6,15,Monday,12.35,credit card,yellow,Manhattan,Manhattan,9.5,2.76,0.0,16.56
2.9,1,6,Friday,10.03,credit card,yellow,Manhattan,Manhattan,10.5,4.14,0.0,17.94
0.66,1,21,Tuesday,4.47,credit card,yellow,Manhattan,Manhattan,5.0,1.76,0.0,10.56
3.0,1,13,Saturday,24.03,credit card,yellow,Manhattan,Manhattan,17.0,5.05,0.0,25.35
2.5,0,14,Monday,17.03,credit card,yellow,Manhattan,Manhattan,13.0,2.0,0.0,18.3
0.51,2,18,Monday,5.83,credit card,yellow,Manhattan,Manhattan,5.5,2.45,0.0,12.25
0.88,1,18,Friday,4.7,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.8
2.69,1,10,Monday,19.05,cash,yellow,Manhattan,Manhattan,13.5,0.0,0.0,16.8
3.37,1,21,Sunday,11.75,credit card,yellow,Manhattan,Manhattan,12.5,3.26,0.0,19.56
1.04,1,13,Sunday,9.45,credit card,yellow,Manhattan,Manhattan,7.5,1.3,0.0,12.1
1.0,1,20,Tuesday,7.03,credit card,yellow,Manhattan,Manhattan,6.5,1.0,0.0,11.3
1.62,1,10,Thursday,12.43,credit card,yellow,Manhattan,Manhattan,9.5,2.56,0.0,15.36
0.9,1,15,Friday,11.97,credit card,yellow,Manhattan,Manhattan,9.0,2.45,0.0,14.75
3.21,5,21,Thursday,13.48,credit card,yellow,Manhattan,Manhattan,12.5,4.08,0.0,20.38
2.27,1,15,Friday,16.98,credit card,yellow,Manhattan,Manhattan,12.0,2.3,0.0,17.6
3.65,1,18,Saturday,22.4,credit card,yellow,Manhattan,Manhattan,16.0,4.82,0.0,24.12
0.5,1,14,Monday,3.27,credit card,yellow,Manhattan,Manhattan,4.0,2.15,0.0,9.45
3.06,1,6,Friday,14.45,credit card,yellow,Manhattan,Manhattan,12.5,3.0,0.0,18.8
0.7,2,16,Saturday,6.27,credit card,yellow,Manhattan,Manhattan,5.5,1.75,0.0,10.55
1.89,1,15,Monday,10.95,credit card,yellow,Manhattan,Manhattan,9.5,2.56,0.0,15.36
1.45,5,1,Tuesday,3.87,credit card,yellow,Manhattan,Manhattan,6.0,2.94,0.0,12.74
2.29,3,21,Thursday,14.2,credit card,yellow,Manhattan,Brooklyn,10.5,2.86,0.0,17.16
0.66,1,8,Monday,6.65,credit card,yellow,Manhattan,Manhattan,6.0,2.79,0.0,12.09
3.1,1,2,Friday,3.43,cash,yellow,Queens,Queens,1.0,0.0,0.0,1.3
2.39,1,15,Monday,20.12,credit card,yellow,Manhattan,Manhattan,13.5,3.36,0.0,20.16
2.3,6,7,Monday,13.62,cash,yellow,Queens,Queens,10.5,0.0,0.0,11.3
1.4,1,13,Thursday,9.43,credit card,yellow,Manhattan,Manhattan,8.0,2.8,0.0,14.1
2.24,1,1,Thursday,8.42,cash,yellow,Manhattan,Manhattan,8.5,0.0,0.0,12.3
14.5,2,20,Wednesday,39.95,cash,yellow,Queens,Brooklyn,43.5,0.0,0.0,44.8
4.75,1,8,Wednesday,19.18,credit card,yellow,Manhattan,Manhattan,17.5,4.16,0.0,24.96
6.21,1,12,Tuesday,35.63,credit card,yellow,Manhattan,Manhattan,27.5,5.5,0.0,36.3
13.27,1,7,Wednesday,47.5,credit card,yellow,Manhattan,Queens,44.5,6.0,5.76,57.06
1.4,2,8,Sunday,4.47,credit card,yellow,Manhattan,Manhattan,6.0,1.85,0.0,11.15
0.5,1,16,Wednesday,2.85,credit card,yellow,Manhattan,Manhattan,4.0,1.66,0.0,9.96
1.3,1,10,Friday,13.12,cash,yellow,Manhattan,Manhattan,9.5,0.0,0.0,12.8
1.01,1,18,Thursday,12.52,credit card,yellow,Manhattan,Manhattan,9.0,1.5,0.0,14.8
0.98,2,17,Sunday,3.88,credit card,yellow,Manhattan,Manhattan,5.0,1.66,0.0,9.96
0.84,1,10,Thursday,13.7,credit card,yellow,Manhattan,Manhattan,9.5,2.56,0.0,15.36
0.87,2,11,Saturday,7.22,credit card,yellow,Brooklyn,Brooklyn,6.5,1.46,0.0,8.76
0.48,3,9,Saturday,1.82,credit card,yellow,Manhattan,Manhattan,3.5,1.36,0.0,8.16
0.56,1,22,Wednesday,2.52,credit card,yellow,Manhattan,Manhattan,4.0,1.56,0.0,9.36
1.6,1,21,Tuesday,5.2,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,10.8
0.54,1,22,Thursday,3.0,credit card,yellow,Manhattan,Manhattan,4.0,2.34,0.0,10.14
1.1,1,19,Thursday,8.13,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,11.3
0.8,1,17,Friday,5.12,credit card,yellow,Manhattan,Manhattan,5.5,1.95,0.0,11.75
1.9,1,6,Monday,10.5,credit card,yellow,Queens,Manhattan,9.0,0.7,0.0,13.0
0.6,3,19,Wednesday,4.22,credit card,yellow,Manhattan,Manhattan,4.5,1.75,0.0,10.55
1.44,5,20,Friday,11.22,credit card,yellow,Manhattan,Manhattan,8.5,2.46,0.0,14.76
1.52,1,10,Wednesday,17.12,credit card,yellow,Manhattan,Manhattan,11.5,2.96,0.0,17.76
3.53,1,23,Saturday,14.63,cash,yellow,Manhattan,Manhattan,13.0,0.0,0.0,16.8
3.85,1,23,Monday,17.93,credit card,yellow,Manhattan,Queens,15.5,5.79,0.0,25.09
2.3,0,16,Friday,24.55,credit card,yellow,Manhattan,Manhattan,16.0,2.0,0.0,22.3
9.29,3,21,Monday,26.97,credit card,yellow,Queens,Manhattan,29.5,5.0,5.76,44.06
0.7,1,11,Wednesday,9.97,credit card,yellow,Manhattan,Manhattan,7.5,2.15,0.0,12.95
0.58,2,16,Tuesday,5.78,credit card,yellow,Manhattan,Manhattan,5.5,2.45,0.0,12.25
1.3,1,17,Tuesday,6.73,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,11.3
0.9,1,13,Friday,6.78,credit card,yellow,Manhattan,Manhattan,6.5,1.95,0.0,11.75
28.3,1,18,Saturday,52.0,credit card,yellow,Manhattan,Queens,52.0,2.0,5.76,63.06
3.44,5,18,Monday,16.73,credit card,yellow,Manhattan,Manhattan,14.0,2.5,0.0,20.8
1.19,2,9,Thursday,15.68,credit card,yellow,Manhattan,Manhattan,10.5,5.0,0.0,18.8
0.45,1,20,Thursday,3.5,credit card,yellow,Manhattan,Manhattan,4.5,1.0,0.0,9.3
2.8,2,21,Wednesday,16.43,credit card,yellow,Manhattan,Brooklyn,13.0,3.0,0.0,19.8
2.21,1,13,Tuesday,14.73,credit card,yellow,Manhattan,Manhattan,11.5,2.96,0.0,19.71
2.9,2,21,Thursday,14.02,credit card,yellow,Manhattan,Queens,12.5,3.25,0.0,19.55
8.53,1,1,Thursday,20.08,credit card,yellow,Manhattan,Brooklyn,26.0,5.96,0.0,35.76
1.33,2,16,Thursday,11.1,cash,yellow,Manhattan,Manhattan,8.5,0.0,0.0,12.8
0.84,1,8,Friday,5.77,credit card,yellow,Manhattan,Manhattan,5.5,2.2,0.0,11.0
0.9,1,20,Wednesday,4.5,credit card,yellow,Manhattan,Manhattan,5.5,1.85,0.0,11.15
2.03,1,9,Tuesday,23.3,cash,yellow,Manhattan,Manhattan,15.0,0.0,0.0,18.3
1.0,1,19,Thursday,3.12,cash,yellow,Manhattan,Manhattan,5.0,0.0,0.0,9.3
1.3,1,12,Monday,18.83,credit card,yellow,Manhattan,Manhattan,12.5,4.0,0.0,19.8
1.1,2,12,Thursday,19.98,credit card,yellow,Manhattan,Manhattan,12.5,3.15,0.0,18.95
0.9,1,8,Tuesday,7.75,credit card,yellow,Queens,Queens,6.5,0.5,0.0,7.8
11.3,2,9,Wednesday,40.05,credit card,yellow,Manhattan,Queens,40.0,9.8,5.76,58.86
1.38,1,13,Friday,7.62,credit card,yellow,Manhattan,Manhattan,7.0,2.06,0.0,12.36
0.49,1,12,Friday,3.02,credit card,yellow,Manhattan,Manhattan,4.0,1.0,0.0,8.3
1.37,2,21,Monday,6.55,credit card,yellow,Manhattan,Manhattan,7.0,1.62,0.0,12.42
2.74,1,12,Wednesday,11.13,credit card,yellow,Manhattan,Manhattan,10.5,1.2,0.0,15.0
1.9,1,19,Tuesday,9.0,credit card,yellow,Manhattan,Manhattan,8.5,2.55,0.0,15.35
1.7,1,11,Friday,16.62,credit card,yellow,Manhattan,Manhattan,11.5,3.7,0.0,18.5
3.26,5,17,Tuesday,24.95,credit card,yellow,Manhattan,Manhattan,17.5,2.18,0.0,23.98
2.1,6,12,Saturday,11.35,credit card,yellow,Manhattan,Manhattan,9.5,1.0,0.0,13.8
0.8,1,8,Thursday,6.37,credit card,yellow,Manhattan,Manhattan,6.0,1.85,0.0,11.15
18.29,1,13,Saturday,65.0,cash,yellow,Queens,Brooklyn,59.5,0.0,0.0,60.3
3.73,1,0,Saturday,38.52,cash,yellow,Manhattan,Manhattan,24.0,0.0,0.0,27.8
0.3,1,9,Thursday,5.57,cash,yellow,Manhattan,Manhattan,5.0,0.0,0.0,8.3
